radio,net,cell,lon,lat,range,samples,distance
UMTS,10,12092631,12.497533,41.863213,96,16,3025
UMTS,10,10413571,12.500571,41.893553,61,4,780
UMTS,10,10397250,12.487782,41.897138,2,2,860
UMTS,10,12101123,12.473999,41.839279,1040,140,5854
UMTS,10,12118151,12.58946,41.819634,591,82,11244
UMTS,10,12509143,12.497847,41.862197,7,2,3140
UMTS,10,10086114,12.615389,41.898306,441,70,10252
UMTS,10,10085294,12.608367,41.9245,164,25,10355
UMTS,10,12090748,12.496233,41.829964,179,46,6695
UMTS,10,10084340,12.548044,41.966141,284,40,9620
UMTS,10,10085293,12.615187,41.911324,889,65,10461
UMTS,10,10086563,12.615095,41.895969,832,54,10208
UMTS,10,10086204,12.612217,41.884587,437,29,9969
UMTS,10,12066590,12.536256,41.801813,214,32,10470
UMTS,10,10071750,12.544591,41.96948,248,36,9817
UMTS,10,12120041,12.506517,41.827001,1035,149,7114
UMTS,10,12115712,12.526229,41.812658,1676,87,9058
UMTS,10,12067540,12.504977,41.794592,328,43,10668
UMTS,10,12115700,12.441154,41.800262,1168,37,10853
UMTS,10,12091537,12.473732,41.803276,16,3,9774
UMTS,10,9536155,12.435273,41.795253,6,2,11558
UMTS,10,12117878,12.590413,41.837739,38,7,10011
UMTS,10,12118501,12.591579,41.839801,194,30,9960
UMTS,10,12099519,12.498895,41.795294,244,41,10552
UMTS,10,12097183,12.594782,41.846038,661,65,9817
UMTS,10,12116972,12.59896,41.858119,706,54,9540
UMTS,10,10086206,12.613071,41.885797,35,4,10032
UMTS,10,10065103,12.584852,41.911005,723,3,8018
UMTS,10,12117741,12.450072,41.792835,89,9,11366
UMTS,10,12117738,12.447022,41.791182,318,44,11621
UMTS,10,12115707,12.498947,41.79545,7,2,10535
UMTS,10,12117017,12.497014,41.79567,1091,106,10503
UMTS,10,12100276,12.483896,41.806344,138,24,9337
UMTS,10,12118509,12.446118,41.808785,11,3,9820
UMTS,10,12118512,12.446484,41.808287,47,7,9859
UMTS,10,12115875,12.483102,41.804886,37,7,9503
UMTS,10,12067537,12.518241,41.794567,594,80,10834
UMTS,10,12117017,12.510835,41.794092,231,31,10781
UMTS,10,10412050,12.520148,41.884455,112,3,2394
UMTS,10,12115703,12.434391,41.797211,578,121,11391
UMTS,10,12099522,12.485991,41.789732,3023,498,11168
UMTS,10,12116165,12.510896,41.880621,5,2,1870
UMTS,10,12118700,12.591286,41.841054,2514,253,9862
UMTS,10,12118698,12.605226,41.850387,26,3,10361
UMTS,10,12116309,12.453525,41.810292,174,29,9439
UMTS,10,12118293,12.43573,41.795609,63,6,11507
UMTS,10,12118393,12.453332,41.810171,87,14,9457
UMTS,10,10387836,12.478825,41.889466,752,110,1123
UMTS,10,10395503,12.473019,41.890061,20,4,1602
UMTS,10,12117296,12.50199,41.870642,178,23,2312
UMTS,10,10412656,12.475953,41.891794,10,3,1371
UMTS,10,12116170,12.49841,41.878515,49,5,1389
UMTS,10,12100929,12.502533,41.874269,251,38,1958
UMTS,10,10412655,12.478825,41.894868,225,39,1236
UMTS,10,10372027,12.480927,41.891382,345,50,955
UMTS,10,10387182,12.48178,41.889235,189,27,881
UMTS,10,10408645,12.485372,41.886781,468,105,689
UMTS,10,12460913,12.489261,41.877859,174,35,1391
UMTS,10,10401942,12.487654,41.895994,14,3,754
UMTS,10,10412885,12.500755,41.894335,94,13,838
UMTS,10,10412879,12.500088,41.895263,12,3,856
UMTS,10,17737503,12.464405,41.870404,2,5,3192
GSM,10,26161,12.351738,41.883205,115,2,11694
GSM,10,31402,12.351786,41.883505,148,3,11688
GSM,10,1561,12.558579,41.805149,1072,8,10929
UMTS,10,12064363,12.454344,41.812607,890,166,9174
UMTS,10,12091543,12.4737,41.803219,114,13,9781
UMTS,10,12116505,12.459825,41.837521,276,31,6440
GSM,10,29472,12.474177,41.850813,5,2,4624
UMTS,10,12066622,12.466564,41.842157,584,83,5746
UMTS,10,12098622,12.474492,41.850436,36,6,4655
GSM,10,29473,12.473437,41.852087,13,3,4511
UMTS,10,12509296,12.471585,41.873862,1022,139,2499
UMTS,10,12494521,12.473949,41.84778,274,32,4949
UMTS,10,12496611,12.47218,41.845869,23,4,5197
UMTS,10,12098623,12.473428,41.86268,373,53,3433
UMTS,10,12508958,12.470908,41.858874,233,32,3904
UMTS,10,12511545,12.475765,41.877569,201,25,1962
UMTS,10,12118458,12.502914,41.8537,1748,15,4145
UMTS,10,12510228,12.476871,41.875944,113,34,2035
UMTS,10,12509144,12.496241,41.868175,477,71,2464
UMTS,10,12097713,12.452096,41.794361,115,11,11154
UMTS,10,12120038,12.504625,41.827473,1191,135,7038
UMTS,10,12095231,12.520642,41.820355,552,51,8103
UMTS,10,12116208,12.561047,41.82562,96,9,9163
UMTS,10,12510972,12.415528,41.971928,325,17,11092
UMTS,10,12492745,12.381432,41.925025,391,23,9982
UMTS,10,10088405,12.499377,41.989089,168,11,11002
UMTS,10,12509102,12.382731,41.949107,408,23,11203
UMTS,10,12488403,12.383268,41.919749,246,15,9627
UMTS,10,10067892,12.423901,41.975932,455,7,11088
UMTS,10,12457771,12.403106,41.968349,259,16,11408
UMTS,10,10065369,12.471755,41.985489,477,29,10723
UMTS,10,10069709,12.43001,41.979215,143,10,11159
UMTS,10,12510972,12.419794,41.973497,35,3,11038
UMTS,10,12516094,12.396913,41.964465,803,18,11433
UMTS,10,12511442,12.380946,41.933412,429,27,10414
UMTS,10,12090748,12.496994,41.826563,447,69,7075
UMTS,10,12064440,12.555253,41.831261,820,92,8373
UMTS,10,12090751,12.510629,41.827056,1374,139,7173
UMTS,10,12119726,12.541607,41.837558,93,17,7133
UMTS,10,12116099,12.49558,41.828644,238,23,6839
GSM,10,23381,12.524969,41.946279,6,3,6794
UMTS,10,12117880,12.58256,41.829477,238,11,10078
UMTS,10,12065868,12.580888,41.825251,151,10,10298
GSM,10,26468,12.50434,41.794767,305,20,10643
UMTS,10,12083377,12.447818,41.801547,48,4,10515
UMTS,10,12116632,12.543776,41.799364,293,20,10953
GSM,10,30077,12.5986,41.858347,596,3,9503
UMTS,10,12479097,12.376269,41.860479,91,16,10183
UMTS,10,12485821,12.374195,41.886029,8,2,9815
UMTS,10,12511556,12.381153,41.847136,661,53,10394
UMTS,10,12488402,12.392969,41.96179,994,100,11454
UMTS,10,12509815,12.383099,41.852996,403,57,9964
UMTS,10,12510883,12.375096,41.884686,173,27,9749
UMTS,10,12509003,12.379109,41.882866,924,125,9432
UMTS,10,12479095,12.37723,41.856183,396,60,10273
UMTS,10,10065372,12.488468,41.986061,752,114,10655
UMTS,10,12479098,12.378261,41.85198,227,43,10376
UMTS,10,12479094,12.375079,41.863707,835,122,10167
UMTS,10,10067892,12.474389,41.985807,611,49,10725
UMTS,10,12479091,12.377832,41.854111,15,3,10314
UMTS,10,12472858,12.389603,41.823167,1069,99,11320
UMTS,10,12485829,12.375981,41.870747,874,76,9895
UMTS,10,12511554,12.383629,41.840871,218,15,10556
UMTS,10,12510886,12.377615,41.874472,1010,65,9680
UMTS,10,12485826,12.379962,41.878428,23,3,9417
UMTS,10,12479092,12.379915,41.852374,39,7,10233
UMTS,10,12510807,12.385398,41.835652,350,24,10747
UMTS,10,10086117,12.615277,41.895911,138,11,10223
UMTS,10,10034236,12.605912,41.873021,52,5,9618
UMTS,10,10085135,12.611733,41.884048,1239,93,9933
UMTS,10,10084627,12.605153,41.872347,530,54,9571
UMTS,10,10086115,12.615452,41.901407,447,34,10293
UMTS,10,10085246,12.606146,41.875574,10,3,9585
UMTS,10,10062147,12.564248,41.965944,1552,100,10315
UMTS,10,10086877,12.586545,41.952021,509,37,10405
UMTS,10,12117742,12.467301,41.786043,1388,359,11751
UMTS,10,10395507,12.472069,41.892283,59,5,1697
UMTS,10,10413517,12.472258,41.895653,21,4,1773
UMTS,10,10413506,12.4728,41.897182,8,2,1798
UMTS,10,17658125,12.462313,41.900302,11,3,2733
UMTS,10,12511553,12.380907,41.850915,474,51,10226
UMTS,10,12115703,12.433751,41.803497,132,15,10786
UMTS,10,12083377,12.438563,41.802803,269,41,10682
GSM,10,24062,12.539465,41.798371,450,37,10922
UMTS,10,12496223,12.39404,41.875562,50,8,8318
UMTS,10,12496229,12.394294,41.875092,26,3,8307
UMTS,10,17689119,12.487294,41.903147,37,6,1500
UMTS,10,12092045,12.508463,41.794389,112,16,10722
UMTS,10,12116928,12.609994,41.854084,217,2,10558
UMTS,10,12117736,12.451274,41.788314,33,6,11816
UMTS,10,12118403,12.481736,41.792207,641,113,10916
UMTS,10,12067536,12.551648,41.801061,271,27,11055
UMTS,10,12118395,12.465114,41.799558,27,4,10315
UMTS,10,12116677,12.575997,41.810087,60,11,11287
UMTS,10,12116206,12.562385,41.82436,259,37,9341
GSM,10,54281,12.496425,41.829694,244,49,6726
UMTS,10,12094162,12.51783,41.826463,91,28,7386
UMTS,10,12090752,12.497515,41.82626,276,32,7111
UMTS,10,12095231,12.510552,41.827177,527,71,7158
UMTS,10,12107313,12.521983,41.827028,97,13,7433
UMTS,10,12093792,12.457804,41.823734,646,123,7916
UMTS,10,12067452,12.46523,41.82632,137,21,7440
UMTS,10,12119942,12.43499,41.805115,440,104,10579
UMTS,10,12096872,12.443223,41.814125,341,50,9379
GSM,10,30492,12.575986,41.815419,493,2,10825
UMTS,10,12069763,12.444619,41.801079,323,31,10659
UMTS,10,12085909,12.475521,41.833778,21,3,6417
UMTS,10,17768205,12.476544,41.905019,83,4,2106
UMTS,10,12510111,12.456209,41.857138,397,10,4738
UMTS,10,12510152,12.391089,41.906599,22,4,8597
UMTS,10,12100249,12.582556,41.86142,3,2,8142
UMTS,10,12100246,12.582568,41.861426,1,3,8142
UMTS,10,17791285,12.454935,41.855978,787,7,4905
UMTS,10,17685024,12.453418,41.861058,2,3,4570
LTE,10,17213491,12.60705,41.909214,11,2,9751
UMTS,10,17685535,12.455522,41.856555,778,48,4824
UMTS,10,17791264,12.452012,41.85273,610,11,5338
UMTS,10,17791284,12.463245,41.842712,2914,12,5798
UMTS,10,17675316,12.479443,41.836488,3473,37,6058
UMTS,10,17675296,12.483798,41.835727,3275,62,6088
UMTS,10,17599520,12.460955,41.85592,1816,16,4610
UMTS,10,12494522,12.44891,41.851806,395,7,5581
UMTS,10,17791265,12.457039,41.859485,584,4,4494
UMTS,10,17685536,12.461698,41.865378,256,11,3748
UMTS,10,17682701,12.441213,41.885639,3501,13,4272
UMTS,10,17730336,12.438797,41.89419,841,12,4465
UMTS,10,17733919,12.458619,41.84736,114,2,5517
UMTS,10,12116096,12.494797,41.830043,1,2,6681
UMTS,10,17679373,12.476667,41.838784,3272,25,5854
UMTS,10,17682208,12.449131,41.855762,372,4,5241
UMTS,10,12496613,12.456318,41.855964,2,2,4834
UMTS,10,12510114,12.455508,41.857056,100,2,4782
UMTS,10,17213491,12.606967,41.909068,48,12,9741
UMTS,10,17680142,12.451831,41.854476,370,2,5198
GSM,10,29301,12.455605,41.856105,11,3,4859
UMTS,10,17684256,12.470598,41.853967,390,14,4407
UMTS,10,17684257,12.480465,41.871016,2214,27,2344
UMTS,10,17686579,12.486776,41.888851,491,4,483
UMTS,10,12461831,12.48044,41.871441,44,2,2302
UMTS,10,17687072,12.480364,41.871616,15,2,2288
UMTS,10,17772063,12.480447,41.87169,6,2,2277
UMTS,10,17594894,12.575452,41.848159,1,3,8330
UMTS,10,17191179,12.613155,41.936493,81,8,11267
UMTS,10,17675315,12.495626,41.833491,5,3,6301
UMTS,10,12090747,12.494807,41.829114,41,2,6784
UMTS,10,17678604,12.475182,41.847451,2016,13,4954
UMTS,10,17684255,12.454711,41.855142,312,5,4989
UMTS,10,17226035,12.455554,41.858925,374,10,4622
UMTS,10,17731083,12.529664,41.880688,20,4,3272
UMTS,10,17760269,12.452063,41.850747,290,6,5509
UMTS,10,17185803,12.441808,41.878019,1190,11,4405
UMTS,10,17695500,12.518458,41.923315,1,2,4272
UMTS,10,17695499,12.519598,41.92506,261,5,4487
GSM,10,47742,12.59336,41.933111,526,3,9643
GSM,10,28313,12.594999,41.933172,390,2,9765
GSM,10,46381,12.590182,41.933027,9,2,9410
GSM,10,46388,12.590182,41.933027,9,2,9410
GSM,10,46382,12.590182,41.933027,9,2,9410
GSM,10,46389,12.590182,41.933027,9,2,9410
GSM,10,46383,12.590182,41.933027,9,2,9410
UMTS,10,17566239,12.524358,41.986228,454,8,10994
UMTS,10,17669664,12.520825,41.985667,311,3,10866
UMTS,10,17566241,12.515052,41.988254,89,2,11055
UMTS,10,17669663,12.509616,41.990295,324,5,11212
UMTS,10,17739808,12.493944,41.986475,335,3,10697
UMTS,10,17669665,12.481904,41.986287,438,5,10710
UMTS,10,12492742,12.381477,41.924863,319,3,9972
UMTS,10,12488402,12.384882,41.912584,508,6,9256
UMTS,10,12510881,12.383368,41.902278,610,7,9141
UMTS,10,12509001,12.380924,41.88704,106,2,9252
UMTS,10,12485821,12.38032,41.880447,261,3,9359
UMTS,10,12485823,12.375997,41.871189,693,9,9883
UMTS,10,12479091,12.375431,41.859999,494,6,10266
UMTS,10,12479092,12.379026,41.85148,318,4,10341
UMTS,10,12511553,12.381755,41.84521,409,5,10450
UMTS,10,12511551,12.385257,41.835703,479,5,10753
UMTS,10,12510801,12.38705,41.829615,193,3,11029
UMTS,10,12510802,12.39058,41.820407,891,9,11464
UMTS,10,12496213,12.400296,41.811149,288,6,11638
UMTS,10,12496216,12.403247,41.810277,68,4,11553
UMTS,10,12496212,12.40566,41.809725,76,4,11473
UMTS,10,12119937,12.413472,41.808386,556,11,11198
UMTS,10,12119940,12.42687,41.805645,229,4,10848
UMTS,10,12083380,12.443653,41.802114,97,2,10583
UMTS,10,12083376,12.451394,41.800718,75,8,10501
UMTS,10,12097707,12.452645,41.795749,108,3,10993
UMTS,10,12117736,12.449786,41.787481,363,5,11940
GSM,10,30072,12.597462,41.853839,658,3,9615
GSM,10,30071,12.597575,41.854216,615,2,9606
GSM,10,28753,12.598205,41.856351,372,2,9558
GSM,10,30073,12.598205,41.856351,372,2,9558
GSM,10,24029,12.596607,41.85095,243,2,9691
GSM,10,55443,12.593207,41.84334,651,3,9859
GSM,10,24023,12.594255,41.845375,408,2,9816
GSM,10,30223,12.588791,41.83665,664,3,9974
GSM,10,28272,12.591822,41.840603,159,2,9926
GSM,10,46751,12.58883,41.837284,601,2,9934
GSM,10,51251,12.588791,41.83665,664,3,9974
GSM,10,30222,12.58692,41.834008,213,2,10029
GSM,10,24183,12.584041,41.829174,1176,3,10192
UMTS,10,17767969,12.497776,41.898346,54,2,1014
UMTS,10,17687839,12.480368,41.892013,18,2,1013
UMTS,10,17686325,12.474419,41.896583,118,2,1648
UMTS,10,17709323,12.408115,41.892294,717,8,6993
UMTS,10,12119938,12.42996,41.810855,1,4,10219
UMTS,10,10362259,12.523437,41.904258,3747,3,3018
